2021-11-08 11:38:02.834816, xqcow, kleinerjockel, monkaLaugh, PRIVMSG
2021-11-08 11:38:03.017990, xqcow, xazaroth_, PepeLaugh COD Lobbys, PRIVMSG
2021-11-08 11:38:03.018044, xqcow, revsono, POGGERS XQC, PRIVMSG
2021-11-08 11:38:03.018061, xqcow, christalicous, Copege i was eating, PRIVMSG
2021-11-08 11:38:04.100839, xqcow, forgettrance, ????, PRIVMSG
2021-11-08 11:38:04.473810, xqcow, arvinbijan, D:, PRIVMSG
2021-11-08 11:38:04.660862, xqcow, ijustdosmileyface, PepeLaugh, PRIVMSG
2021-11-08 11:38:04.660888, xqcow, carrer0001, lmao, PRIVMSG
2021-11-08 11:38:04.660896, xqcow, highpeor, TRIGGER DISCPLINE, PRIVMSG
2021-11-08 11:38:04.660904, xqcow, eyeyuhh, LOL, PRIVMSG
2021-11-08 11:38:04.660911, xqcow, tanyuno, PepeLaugh OH HERE WE GO, PRIVMSG
2021-11-08 11:38:04.871694, xqcow, matukzp, xqcLL, PRIVMSG
2021-11-08 11:38:04.871736, xqcow, johia4, monkaW snipers ???, PRIVMSG
2021-11-08 11:38:04.871752, xqcow, mra2isking, DADDY SMOKE OMEGALUL, PRIVMSG
2021-11-08 11:38:05.058027, xqcow, salty__nutella, wtf?, PRIVMSG
2021-11-08 11:38:05.058072, xqcow, koyoshii, D:, PRIVMSG
2021-11-08 11:38:05.058089, xqcow, ironshah, ah my favorite chat, PRIVMSG
2021-11-08 11:38:05.058103, xqcow, muddy_bubbly, VeryPog here we go, PRIVMSG
2021-11-08 11:38:05.058121, xqcow, hyperr_xd, OMEGALUL 󠀀, PRIVMSG
2021-11-08 11:38:05.058137, xqcow, baidurya912, LOOOOOOOL, PRIVMSG
2021-11-08 11:38:05.284908, xqcow, brcisintheslammer, D:, PRIVMSG
2021-11-08 11:38:05.467301, xqcow, thehesser, PepeLaugh, PRIVMSG
2021-11-08 11:38:05.467332, xqcow, autrayjones, OMEGALUL 󠀀, PRIVMSG
2021-11-08 11:38:05.680311, xqcow, 1taro2, OMEGALUL, PRIVMSG
2021-11-08 11:38:05.680355, xqcow, iamslaytanic, ?, PRIVMSG
2021-11-08 11:38:05.680371, xqcow, lyfjaberg, PepeLaugh PepeLaugh PepeLaugh PepeLaugh, PRIVMSG
2021-11-08 11:38:05.680390, xqcow, wizzard_lv, D: ?, PRIVMSG
2021-11-08 11:38:05.876797, xqcow, lordassassin__, OMEGALUL, PRIVMSG
2021-11-08 11:38:05.876833, xqcow, krish_dedhia, xqcLL xqcLL xqcLL xqcLL, PRIVMSG
2021-11-08 11:38:05.876842, xqcow, albertjnun, D:, PRIVMSG
2021-11-08 11:38:05.876850, xqcow, ohhlogic, OMEGALUL WITH A 1, PRIVMSG
2021-11-08 11:38:05.876857, xqcow, wwwwwwwwwwww0wwwwwwwwwwww, LUL, PRIVMSG
2021-11-08 11:38:06.120018, xqcow, se7vn77, D: B, PRIVMSG
